method,axis,group,n,AUC,ECE
faceswap,gender,male=1,2047,0.9609876168438417,0.31926533512954913
faceswap,gender,male=0,2429,0.9870421217483271,0.3580969564182635
faceswap,age,young,2302,0.9819357775243225,0.3568311037452183
faceswap,age,middle_aged,384,0.9940728081597221,0.33343791794781574
faceswap,age,senior,448,0.9116410235969388,0.32980737235520174
faceswap,ethnicity,asian,256,0.9281005859375,0.3402924367754478
faceswap,ethnicity,white,3709,0.971014808805613,0.3386121137914823
faceswap,skintone,shiny_skin=1,2301,0.9766407282892002,0.3294089972293569
faceswap,skintone,shiny_skin=0,1024,0.9838962554931641,0.3370783001577242
deepfakes,gender,male=1,2046,0.8173226134417808,0.26659935525715717
deepfakes,gender,male=0,2428,0.8616228851366711,0.3063703780246972
deepfakes,age,young,2301,0.8616167415857666,0.30792719699883053
deepfakes,age,middle_aged,383,0.9574061954624783,0.33805224836358644
deepfakes,age,senior,448,0.7866609534438775,0.28762627302624366
deepfakes,ethnicity,asian,255,0.7711921751968503,0.29174741372109386
deepfakes,ethnicity,white,3708,0.8275293361242714,0.28618201918591535
deepfakes,skintone,shiny_skin=1,2300,0.8420486518326289,0.2777512205634503
deepfakes,skintone,shiny_skin=0,1024,0.8768749237060547,0.29223349445627356
face2face,gender,male=1,2048,0.6487903594970703,0.22677105880426102
face2face,gender,male=0,2431,0.6089509557071692,0.2560508686914518
face2face,age,young,2303,0.6051342733371947,0.2562068345363097
face2face,age,middle_aged,384,0.560451931423611,0.1933601871021068
face2face,age,senior,448,0.6080496651785714,0.2514232738366128
face2face,ethnicity,asian,256,0.582794189453125,0.25857862605670234
face2face,ethnicity,white,3711,0.6355519216469933,0.24400004419364016
face2face,skintone,shiny_skin=1,2303,0.6467191120040544,0.22951965950860836
face2face,skintone,shiny_skin=0,1024,0.5810508728027344,0.22324762170461324
neuraltextures,gender,male=1,2048,0.6056375503540039,0.21741303557025665
neuraltextures,gender,male=0,2430,0.5997280224897965,0.25404087872918746
neuraltextures,age,young,2302,0.6089254159681341,0.256230614913621
neuraltextures,age,middle_aged,384,0.672146267361111,0.21301791649341975
neuraltextures,age,senior,448,0.5546775350765306,0.23605439068361617
neuraltextures,ethnicity,asian,256,0.58935546875,0.2554835643350109
neuraltextures,ethnicity,white,3710,0.5966653831343858,0.2356409967187188
neuraltextures,skintone,shiny_skin=1,2302,0.5954860390352965,0.21974874125174704
neuraltextures,skintone,shiny_skin=0,1024,0.6088352203369141,0.2290328269076968
