method,n,AUC,ECE_raw,ECE_cal
faceswap,4476,0.9738075762237395,0.04374779489396563,0.03644486536307803
deepfakes,4474,0.8391220113645335,0.23785381744157572,0.1762113873936939
face2face,4479,0.6252604000510432,0.41180539824196993,0.31947267821491176
neuraltextures,4478,0.6000810672632877,0.43144161416636195,0.34280778474619744
