routing,AURC,err70,err80,err90
(A) confidence,0.22083522045468043,0.2874483694867277,0.30250925649007376,0.31683865266815436
(B) per-frame competence (entropy),0.22083522045468043,0.2874483694867277,0.30250925649007376,0.31683865266815436
(B2) per-frame ref-dist,0.4737948780376651,0.4482780200841493,0.40577756622760647,0.36761071754856295
(C) per-batch competence (ks),0.19068216468150276,0.2390673290777274,0.279166894831951,0.3052090041785859
