detector,method,AUC,ECE_raw,ECE_hybrid_legacy,ECE_hybrid,ECE_platt,ECE_beta
xception,faceswap,0.8919282591168576,0.06884739603776614,0.04545450919489495,0.01770549185920518,0.018005460431003147,0.01776948338467085
xception,fomm,0.8008430759577733,0.15622549388205842,0.054371805286285414,0.018223631089620242,0.019920250000023523,0.01387255694576997
xception,fsgan,0.9003712458527577,0.106932704742348,0.03639405621308167,0.02193052620362436,0.03967015983503127,0.026517147464970074
xception,wav2lip,0.4701207947257874,0.5109726230464612,0.2237506708829296,0.024871878888887068,0.04513626750258356,0.01751836656826519
xception,StyleGAN2,0.6491174214711677,0.3257009392413902,0.06292802862109584,0.013879908449701658,0.019208464293954387,0.019415487632900394
xception,ddim,0.7661389045915591,0.19726376084967287,0.04108441869906672,0.012957177012256883,0.01953459439628969,0.018080853939276383
xception,simswap,0.9477985239610648,0.08278643932455872,0.023779163701441584,0.01866928121027134,0.022922690848462313,0.019890278909105774
xception,StyleGAN3,0.6792250307148161,0.28935167305270837,0.05961425139779744,0.012819771695859315,0.017277945055495566,0.016135773689628465
xception,facevid2vid,0.8215524423934427,0.13431902686915073,0.0636893559366865,0.03670737072256961,0.036567899965653,0.03977832504039594
xception,pirender,0.6880317643216535,0.26523708378801775,0.08942741840031034,0.0443153087201165,0.044277459414854774,0.04454352748728649
xception,DiT,0.5214386786402107,0.4751942144771542,0.16080422651018494,0.011113304627459391,0.015112842675457103,0.01500194453754657
xception,StyleGANXL,0.6374484330701085,0.3413529314985236,0.09318132105052693,0.015971681833898962,0.03638348572608863,0.026321829627678244
xception,lia,0.6068025951104774,0.3595591265833359,0.14616897590423786,0.03367661063131719,0.03759831733650026,0.035091407271106156
xception,sd2.1,0.6878661314685541,0.2716275600453576,0.044155364375336244,0.014659995157626834,0.013752148216403148,0.013317137873692228
xception,blendface,0.94285209820568,0.08069436150287954,0.02246110497502149,0.016650746787337873,0.019411914513602548,0.017045555780657813
xception,facedancer,0.932696152178773,0.07039545438904989,0.025399740114370066,0.012193045342620808,0.01757983834609086,0.012572832722165812
xception,inswap,0.8151875494888199,0.1580593767673038,0.07264852623804717,0.051826362573789406,0.05160517579841959,0.052690716746391794
xception,pixart,0.4328684433734191,0.5804563983110981,0.26534318810907054,0.010990501299121802,0.023650950403736142,0.023622450043501785
xception,sadtalker,0.42701130171556606,0.5545130443918693,0.2639059892386962,0.03503307936631198,0.0438685823752506,0.043794386012030576
xception,SiT,0.5535311889432757,0.43564698128517104,0.09657858035441519,0.013678656918060916,0.01429917133057949,0.013704788018955165
xception,rddm,0.7329715146461177,0.14958605378577972,0.14764860480319356,0.009502201196504542,0.1952715834471625,0.03072034374614842
effnetb4,faceswap,0.9260686958889887,0.04874596020227312,0.020035761930044305,0.01440130925486542,0.03030826685796444,0.010100786174512478
effnetb4,fomm,0.7667637099337812,0.3362294059247863,0.115370353397848,0.035385004374556044,0.08373199878807504,0.033452515335144685
effnetb4,fsgan,0.8732771920658736,0.10271102802240233,0.07198529091077334,0.012450641106034017,0.024997413593882457,0.02350035946315404
effnetb4,wav2lip,0.5501263959964775,0.4715740169401053,0.25445549866293105,0.020859984494029718,0.02480079300378491,0.01948548922508151
effnetb4,StyleGAN2,0.46579603347111387,0.558843415572647,0.1807733227528427,0.01784449275943912,0.020266653350943083,0.012617652420390753
effnetb4,ddim,0.7449898284049556,0.27184051401007076,0.03181949399265716,0.018246560356565786,0.023891135870748845,0.018316792394608258
effnetb4,simswap,0.8606618741177426,0.13758185701713946,0.04487847505430135,0.029056076433733546,0.03648540266099146,0.031863318802140224
effnetb4,StyleGAN3,0.47654084969777644,0.5424029177279793,0.20625451716513704,0.019661265337908185,0.019916223834169154,0.0157726096902294
effnetb4,facevid2vid,0.7112819498270837,0.3579825422844428,0.19831450356985897,0.025191864078982284,0.06228901421860713,0.017629497772251656
effnetb4,pirender,0.6648043187148303,0.40665241297305627,0.18082850470985012,0.03214433621086721,0.06942265441205929,0.03310178461851087
effnetb4,DiT,0.5073311319123572,0.5389994266775626,0.1558348588152577,0.021648329848171253,0.022435375394702396,0.016229901317527298
effnetb4,StyleGANXL,0.4767600235869342,0.5718027586600941,0.19095144409561338,0.015791227611624464,0.027679673023596536,0.014396480571018607
effnetb4,lia,0.6508960778915939,0.3985884708315407,0.17263785802376697,0.04386881240037866,0.05159704601787526,0.04853160768712411
effnetb4,sd2.1,0.776735946159353,0.22637371402358733,0.03344703743755424,0.018632735659612654,0.01525356184651308,0.01528363550146986
effnetb4,blendface,0.943305929620168,0.02068497436513624,0.0368374051607658,0.0274019836603791,0.030494114718590325,0.03017298466995702
effnetb4,facedancer,0.8587805787811666,0.16826193004737883,0.07000942207144885,0.04547617102994289,0.0476564283528301,0.043875704761474364
effnetb4,inswap,0.7213611399636808,0.2530821963966078,0.09922083712504898,0.03535083624926157,0.03945457358755539,0.030376820133299343
effnetb4,pixart,0.47209556876054276,0.5156334456928889,0.20538407769253275,0.014592082575634942,0.04875881270808907,0.012379661879913571
effnetb4,sadtalker,0.489370465832362,0.5641790748921054,0.2537944502854499,0.020736144646209036,0.050827502357849906,0.022200432712110772
effnetb4,SiT,0.5346169664131926,0.5134113965775582,0.1241052223218463,0.019793517615277235,0.021650518568068586,0.0183710700139859
clip,faceswap,0.9933344536328066,0.10128077200293968,0.010222502904167385,0.008427093219868684,0.01394901223804259,0.01279536914360568
clip,fomm,0.8364845480843335,0.12004694409798627,0.04220426511862148,0.024843921235124487,0.022852944583250188,0.02606135984215426
clip,fsgan,0.9563347693787285,0.09802475336129465,0.01841217491705531,0.014471144305381824,0.047077366603615466,0.02361850680082309
clip,wav2lip,0.6410891782748855,0.3211492414316533,0.09949732840746027,0.02021392531100952,0.027884703592008078,0.027865031842061325
clip,StyleGAN2,0.8208108224866955,0.12836383470948723,0.022833183591421037,0.01815122739715218,0.027493027436856863,0.01771027698160402
clip,ddim,0.7445373875416046,0.1943686164462826,0.061705501083270435,0.026976966868709592,0.028839244585955874,0.02278082843878885
clip,simswap,0.9597022027989278,0.08483401117519931,0.018691564457532055,0.01688284434890553,0.021672275773299762,0.018281706756915036
clip,StyleGAN3,0.7744486028260481,0.1709489519436315,0.029043041796423252,0.020202204908546142,0.028685985114335448,0.019409901700978206
clip,facevid2vid,0.8380205965669769,0.1187132504324964,0.04357535600761557,0.014704980538243607,0.01564062379015981,0.019031666073117404
clip,pirender,0.7281452433103333,0.2184244595528711,0.09276156413682217,0.03188509690412382,0.03649800694504698,0.03654792741417515
clip,DiT,0.5612560671529727,0.3868508025443813,0.14278256958837504,0.02534691093363803,0.027986450227143883,0.023719000010312196
clip,StyleGANXL,0.6984489079345814,0.24897857423685155,0.07175389742966191,0.022440096230618975,0.04015291982037174,0.03541732714292307
clip,lia,0.6914256071859168,0.26118863671294157,0.14137497830318077,0.060104747300323794,0.04439139205113436,0.04576072761589008
clip,sd2.1,0.7512586709948043,0.1714376649054545,0.036847560097092655,0.02274529307511995,0.017239720135161285,0.021437223635824572
clip,blendface,0.9787048820686776,0.09491429674501796,0.02333803694956531,0.015951874415166142,0.022257112240226383,0.019411969669822407
clip,facedancer,0.981332978478195,0.07430546550000351,0.007296814704015902,0.007846681743924907,0.014608274223461747,0.011827760721670638
clip,inswap,0.8905463350109448,0.11866241949021987,0.04466388843739716,0.03716077966842518,0.03801362146890237,0.04336250363985979
clip,pixart,0.7633210247990131,0.18792363654458363,0.025860088258007338,0.021339394224026295,0.0332334957331905,0.02299313460651949
clip,sadtalker,0.56640117364373,0.40444488287482316,0.1796663257076847,0.043227663686056295,0.04999715667721158,0.04997499303523508
clip,SiT,0.5887923211534676,0.3567538583324296,0.10622687884849356,0.02316025820709265,0.0284515832277448,0.022530250023849046
