method,AUC,ECE_raw,ECE_transf_iso,ECE_transf_platt,ECE_transf_beta
faceswap,0.8919282591168576,0.06884739603776614,0.037369122633951084,0.026307608121189898,0.037245666345635864
fomm,0.8008430759577733,0.15622549388205842,0.1343371146771368,0.12296199156851201,0.13051695326749554
fsgan,0.9003712458527577,0.106932704742348,0.031299338888456686,0.036531393381802786,0.03224686409628924
wav2lip,0.4701207947257874,0.5109726230464612,0.43232049896914393,0.43681418541990713,0.4311218662536326
StyleGAN2,0.6491174214711677,0.3257009392413902,0.30353165864042403,0.2962314669586941,0.3017896141277201
ddim,0.7661389045915591,0.19726376084967287,0.1795263973533225,0.1740439120909341,0.17908293512663084
simswap,0.9477985239610648,0.08278643932455872,0.04306654205616441,0.044630304837664066,0.04267141190282032
StyleGAN3,0.6792250307148161,0.28935167305270837,0.2714767126917328,0.2633377562959038,0.2691181280382135
facevid2vid,0.8215524423934427,0.13431902686915073,0.09741809232102898,0.08776640771906631,0.09465855546721662
pirender,0.6880317643216535,0.26523708378801775,0.2232897034242724,0.21302573698457866,0.22177584076990628
DiT,0.5214386786402107,0.4751942144771542,0.4321544611352963,0.4301330113933396,0.43225002479032015
StyleGANXL,0.6374484330701085,0.3413529314985236,0.32971108095781315,0.31928364007978993,0.3274088606295272
lia,0.6068025951104774,0.3595591265833359,0.2969676866449669,0.2934041280655894,0.29646940375479536
sd2.1,0.6878661314685541,0.2716275600453576,0.2667012566369525,0.2579878467838095,0.2649612900661271
blendface,0.94285209820568,0.08069436150287954,0.04023947323972225,0.03931975013594013,0.03894639913280277
facedancer,0.932696152178773,0.07039545438904989,0.012087534748139605,0.016969663964461795,0.012052384482992836
inswap,0.8151875494888199,0.1580593767673038,0.0740144549849005,0.0758635620965701,0.07409745848027456
pixart,0.4328684433734191,0.5804563983110981,0.5137585018001086,0.5168296706523876,0.5121498126774566
sadtalker,0.42701130171556606,0.5545130443918693,0.4772599224214167,0.48272130570888067,0.4785484678110295
SiT,0.5535311889432757,0.43564698128517104,0.4018464662305142,0.3985429052423678,0.402288411755376
rddm,0.7329715146461177,0.14958605378577972,0.3027953868117993,0.2750557681692941,0.30301681638898126
