method,ks,wass,AUC,architecture,ks_reference
DiT,0.2798267161759279,0.19089804227280532,0.5073,effnetb4,ffpp_faceswap+reals
SiT,0.2643296617080664,0.17355503145183668,0.5346,effnetb4,ffpp_faceswap+reals
StyleGAN2,0.2702096243844856,0.2063514410156672,0.4658,effnetb4,ffpp_faceswap+reals
StyleGAN3,0.25946807262973626,0.1931481901806726,0.4765,effnetb4,ffpp_faceswap+reals
StyleGANXL,0.30299650963038727,0.22212932534463758,0.4768,effnetb4,ffpp_faceswap+reals
blendface,0.29050626621109454,0.2658525047665451,0.9433,effnetb4,ffpp_faceswap+reals
ddim,0.20151924476975186,0.09859356303081418,0.745,effnetb4,ffpp_faceswap+reals
facedancer,0.19369442527102199,0.12296964006561711,0.8588,effnetb4,ffpp_faceswap+reals
faceswap,0.28134264038837253,0.2474928487356443,0.9261,effnetb4,ffpp_faceswap+reals
facevid2vid,0.23745616226653798,0.14010455545024736,0.7113,effnetb4,ffpp_faceswap+reals
fomm,0.21907449746766527,0.1317489015107712,0.7668,effnetb4,ffpp_faceswap+reals
fsgan,0.21967416789488914,0.1950047015808431,0.8733,effnetb4,ffpp_faceswap+reals
inswap,0.15455980938622893,0.07813929734953033,0.7214,effnetb4,ffpp_faceswap+reals
lia,0.21996195107806038,0.13301087201530884,0.6509,effnetb4,ffpp_faceswap+reals
pirender,0.2575474456749045,0.15335534125192782,0.6648,effnetb4,ffpp_faceswap+reals
pixart,0.2080980069376015,0.16692436985185874,0.4721,effnetb4,ffpp_faceswap+reals
sadtalker,0.3011787362251803,0.22293769242008166,0.4894,effnetb4,ffpp_faceswap+reals
sd2.1,0.20390432450422172,0.11951512365781407,0.7767,effnetb4,ffpp_faceswap+reals
simswap,0.2133858214440576,0.15433697926869078,0.8607,effnetb4,ffpp_faceswap+reals
wav2lip,0.24168733690957844,0.16816626832761813,0.5501,effnetb4,ffpp_faceswap+reals
DiT,0.5694458612124396,0.33402309154868937,0.5613,clip,in-domain_DF40_FS_pool
SiT,0.550478150830936,0.3052896763126357,0.5888,clip,in-domain_DF40_FS_pool
StyleGAN2,0.34847796180564233,0.07136056039794704,0.8208,clip,in-domain_DF40_FS_pool
StyleGAN3,0.3850840048127688,0.11674359472286967,0.7744,clip,in-domain_DF40_FS_pool
StyleGANXL,0.4692103169696472,0.1961978452290118,0.6984,clip,in-domain_DF40_FS_pool
blendface,0.04590745928184614,0.016683284143631297,0.9787,clip,in-domain_DF40_FS_pool
ddim,0.44506938517097117,0.1410113527446637,0.7445,clip,in-domain_DF40_FS_pool
facedancer,0.0458779124122467,0.013698880689910795,0.9813,clip,in-domain_DF40_FS_pool
faceswap,0.18528323729541185,0.020992165790409235,0.9933,clip,in-domain_DF40_FS_pool
facevid2vid,0.39782660906595185,0.08951264264972217,0.838,clip,in-domain_DF40_FS_pool
fomm,0.41080277428386386,0.10401070461628831,0.8365,clip,in-domain_DF40_FS_pool
fsgan,0.1289455762418591,0.008583565411541013,0.9563,clip,in-domain_DF40_FS_pool
inswap,0.25532654560128437,0.07111005392375863,0.8905,clip,in-domain_DF40_FS_pool
lia,0.5336295639842277,0.2609554040444917,0.6914,clip,in-domain_DF40_FS_pool
pirender,0.481392840072346,0.19674903519059783,0.7281,clip,in-domain_DF40_FS_pool
pixart,0.38777533202047154,0.13020919590838786,0.7633,clip,in-domain_DF40_FS_pool
sadtalker,0.5703427022854307,0.33911087411596685,0.5664,clip,in-domain_DF40_FS_pool
sd2.1,0.4936601924473374,0.12487837122524183,0.7513,clip,in-domain_DF40_FS_pool
simswap,0.14861464127362334,0.009639658603684858,0.9597,clip,in-domain_DF40_FS_pool
wav2lip,0.5396906687108688,0.2860134641887381,0.6411,clip,in-domain_DF40_FS_pool
