set,n,ECE,ECE_lo,ECE_hi,Brier
raw (uncalibrated),11190,0.6936869613283304,0.6865038709027147,0.6997584436167957,0.6869987840965504
hybrid-calibrated,11190,0.2067979789853353,0.20305932844559318,0.22454051171476913,0.15976422459993678
