signal,r_vs_AUC,p,spearman
mean_score,0.9933426287333732,2.6722656735552135e-19,0.9909090909090909
ks_vs_ref,0.9517938474719603,3.347957636797091e-11,0.9480519480519479
wasserstein_vs_ref,0.8842060006005197,1.0554240151237288e-07,0.8844155844155844
bimodality,0.8236818162754995,4.472845881204274e-06,0.803896103896104
std_score,-0.7394707582743875,0.00012785093389725412,-0.7636363636363636
entropy,-0.681054619694548,0.0006769098985205923,-0.7363636363636364
confident_frac,0.5665233458119167,0.007415698460842668,0.7558441558441559
kl_vs_ref,0.2651589828001833,0.24537880324223774,0.7636363636363636
