detector,AUC,ECE_cal,n_frames
clipFS,0.8321803946803945,0.06249279384727019,2493
effnetb4FS,0.7040674603174604,0.1376814060954744,2493
xceptionFS,0.588109984984985,0.12683072623626343,2493
