method,family,n,AUC,ECE_raw,ECE_cal
df40_StyleGAN2,EFS,16967,0.6491174214711677,0.3257009392413902,0.06292802862109584
df40_blendface,FS,12930,0.94285209820568,0.08069436150287954,0.02246110497502149
df40_ddim,EFS,16967,0.7661389045915591,0.19726376084967287,0.04108441869906672
df40_facevid2vid,FR,12805,0.8215524423934427,0.13431902686915073,0.0636893559366865
df40_fomm,FR,12947,0.8008430759577733,0.15622549388205842,0.054371805286285414
df40_inswap,FS,9489,0.8151875494888199,0.1580593767673038,0.07264852623804717
df40_sd2.1,EFS,16967,0.6878661314685541,0.2716275600453576,0.044155364375336244
df40_simswap,FS,12966,0.9477985239610648,0.08278643932455872,0.023779163701441584
