method,AUC,n_frames,faithfulness_rankcorr,faith_std
sadtalker,0.427,30,0.11618432300064098,0.45031801489742707
pixart,0.4329,30,0.1267002978198901,0.36503299258422295
wav2lip,0.4701,30,0.1078334593000244,0.42257570078742535
DiT,0.5214,30,0.34783543795825655,0.36225402089683373
SiT,0.5535,30,0.29516212868857233,0.3759468832331856
lia,0.6068,30,0.1532635779722405,0.42169384872677906
StyleGANXL,0.6374,30,0.2023040700021766,0.5523300590541118
StyleGAN2,0.6491,30,0.3235169161060193,0.49959199297255286
StyleGAN3,0.6792,30,0.38090902004074756,0.4517984258749455
sd2.1,0.6879,30,0.35230547136610874,0.38902411199189757
pirender,0.688,30,0.2680655321872251,0.3821986367650828
ddim,0.7661,30,0.4881477306813852,0.3541144806261473
fomm,0.8008,30,0.5079018850451942,0.2716186654746432
inswap,0.8152,30,0.45695435156740394,0.4189120527556523
facevid2vid,0.8216,30,0.633436442652152,0.2581087916260424
faceswap,0.8919,30,0.6039629939167742,0.19102050470508217
fsgan,0.9004,30,0.6669866640011749,0.2517460180913172
facedancer,0.9327,30,0.6548368333012802,0.1817393987769169
blendface,0.9429,30,0.6859199617944026,0.07341904249458507
simswap,0.9478,30,0.6513187010039017,0.22660992585878922
