axis,group,n,ECE_legacy,ECE_tiesafe
gender,male=1,5117,0.07346900512751184,0.020178462404208942
gender,male=0,6073,0.06422076935771753,0.03306386312964086
age,young,5755,0.060767171579042725,0.03351748569926508
age,middle_aged,959,0.11476895301064426,0.06616220875857817
age,senior,1120,0.07537338275920885,0.04365469832672552
ethnicity,asian,639,0.06104248686188554,0.05099846749491816
ethnicity,white,9273,0.03400258938347635,0.01911180273023828
skintone,shiny_skin=1,5753,0.07687171386791261,0.03178941252677967
skintone,shiny_skin=0,2560,0.06175423369087487,0.026409411120181456
