slice,n,pearson_r,pearson_p,spearman_rho,spearman_p,AUC_min,AUC_max,note
FF++ Xception (2ckpt x 4 methods),8,-0.817,0.01328,-0.81,0.0149,0.387,0.974,"cross-forgery, cross-checkpoint"
DF40 Xception-FS only,8,-0.585,0.1277,-0.333,0.41975,0.649,0.948,moderate-high competence; weak (n.s.)
DF40 within-dataset (FS + FR-mismatch),12,-0.939,1e-05,-0.783,0.00259,0.256,0.948,confound-breaker; full competence range
EfficientNet-B4 FF++,4,-0.952,0.04794,-1.0,0.0,0.565,0.926,different architecture
COMBINED (all cells),24,-0.812,0.0,-0.837,0.0,0.256,0.974,2 arch x 2 datasets x 4 families
