axis,gap,se,ci_lo,ci_hi,excludes_0
gender,0.026201609793012275,0.006655241735687597,0.02199077098100203,0.04790450943823243,True
age,0.06750155767614469,0.02460195773006833,0.006519700707513787,0.1027033623519974,True
ethnicity,0.013775091527385978,0.03289139217413751,-0.12394652179604874,0.022859691244503114,False
skintone,0.029604318533413047,0.008741830030471872,0.02006868225042397,0.05414976436897151,True
