method,pooled_ece,gender_gap,n_eval
faceswap,0.03644486536307803,0.023452162698426246,4476
deepfakes,0.08197010281474906,0.04145617418505375,4474
face2face,0.22026183588326353,0.00770184457035239,4479
neuraltextures,0.23838113143620113,0.043428984848996016,4478
