method,n,AUC,ECE_raw,ECE_cal,checkpoint,fit_method
faceswap,4476,0.9738075762237396,0.0437477948939656,0.036444865363078,train_on_fs,faceswap
deepfakes,4474,0.8391220113645335,0.2378538174415757,0.1762113873936939,train_on_fs,faceswap
face2face,4479,0.6252604000510432,0.4118053982419699,0.3194726782149117,train_on_fs,faceswap
neuraltextures,4478,0.6000810672632877,0.4314416141663619,0.3428077847461974,train_on_fs,faceswap
faceswap,4476,0.3868015747978045,0.5140955682483318,0.3260511605300072,train_on_fr,neuraltextures
deepfakes,4474,0.6644668990730721,0.414418019762078,0.2013405262671598,train_on_fr,neuraltextures
face2face,4479,0.4948033640655905,0.4546522291005208,0.2623622856972238,train_on_fr,neuraltextures
neuraltextures,4478,0.640338822861048,0.4134133054254242,0.1582019729450798,train_on_fr,neuraltextures
