method,n,AUC,ECE_raw,ECE_cal
faceswap,4476,0.3868015747978045,0.5140955682483318,0.32605116053000727
deepfakes,4474,0.6644668990730721,0.41441801976207804,0.2013405262671598
face2face,4479,0.4948033640655905,0.45465222910052083,0.26236228569722386
neuraltextures,4478,0.640338822861048,0.4134133054254242,0.15820197294507982
