set,n,ECE,ECE_lo,ECE_hi,Brier
raw (uncalibrated),11190,0.45529146743854915,0.44809691756853137,0.4629820229703923,0.4402399786361535
hybrid-calibrated,11190,0.047267395334499564,0.04024504100241842,0.060783441177108204,0.13992223403870335
