detector,method,AUC,rel,res,unc
xception,DiT,0.5214386786402107,0.00022117810028371212,0.00024845793397116185,0.14135697087745058
xception,SiT,0.5535311889432757,0.0003225028677618966,0.0009808417297257946,0.14135697087745058
xception,StyleGAN2,0.6491174214711677,0.00024555475796956573,0.0062895530660546295,0.14135697087745058
xception,StyleGAN3,0.6792250307148161,0.0002555086490878141,0.008137421399973492,0.14135697087745058
xception,StyleGANXL,0.6374484330701085,0.00031970458221862116,0.008804148161524165,0.14135697087745058
xception,blendface,0.94285209820568,0.0004655536679346857,0.1023129122307098,0.17571951175016404
xception,ddim,0.7661389045915591,0.00023548845242468957,0.019611584749148207,0.14135697087745058
xception,facedancer,0.932696152178773,0.0002842095153913429,0.08897022503230784,0.16464153904255424
xception,faceswap,0.8919282591168576,0.0005676861033114713,0.08379865221501441,0.17884199592615482
xception,facevid2vid,0.8215524423934427,0.0027898064356210845,0.04561250186164218,0.1770093041006013
xception,fomm,0.8008430759577733,0.0005080473412084624,0.0400719099675593,0.16901234470608703
xception,fsgan,0.9003712458527577,0.0008267818673789328,0.076975016477498,0.18032543997526346
xception,inswap,0.8151875494888199,0.00541609738732297,0.054650597933646586,0.20604108205183275
xception,lia,0.6068025951104774,0.0017369860343279507,0.0052270884003857085,0.1814959141915052
xception,pirender,0.6880317643216535,0.002774429213614004,0.017863265210783973,0.18030416358134618
xception,pixart,0.4328684433734191,0.0001670392580221658,0.0001370887487274763,0.14135697087745058
xception,rddm,0.7329715146461177,0.00018748859819271282,0.11240027437080653,0.20964096467212587
xception,sadtalker,0.42701130171556606,0.002467999416937462,0.0009979665137876959,0.1612754011574253
xception,sd2.1,0.6878661314685541,0.000323283317441786,0.010127833798511256,0.14135697087745058
xception,simswap,0.9477985239610648,0.00076325727204438,0.10826419858888826,0.17940622312216606
xception,wav2lip,0.4701207947257874,0.0013528177341593996,0.0012027375895454714,0.17193404777605822
effnetb4,DiT,0.5073311319123572,0.0006112070625238038,0.0003773223545538459,0.14135697087745058
