detector,method,AUC,rel,res,unc
effnetb4,SiT,0.5346169664131926,0.0005521191447186829,0.0009316117862629157,0.14135697087745058
effnetb4,StyleGAN2,0.46579603347111387,0.000763508020798284,0.00029377975625832477,0.14135697087745058
effnetb4,StyleGAN3,0.47654084969777644,0.0006681889154938572,0.0002599760157268493,0.14135697087745058
effnetb4,StyleGANXL,0.4767600235869342,0.00040637567001447505,0.0003390738195836054,0.14135697087745058
effnetb4,blendface,0.943305929620168,0.0019604754555687847,0.10190324604674227,0.17571951175016404
effnetb4,ddim,0.7449898284049556,0.00041568951601268393,0.02078304456644307,0.14135697087745058
effnetb4,facedancer,0.8587805787811666,0.00269825507697899,0.05058366082478011,0.16464153904255424
effnetb4,faceswap,0.9260686958889887,0.0003775738252853147,0.09642198907110189,0.17884199592615482
effnetb4,facevid2vid,0.7112819498270837,0.0013123068328377678,0.02409865199611469,0.1770093041006013
effnetb4,fomm,0.7667637099337812,0.0014163747439106629,0.04255540398527284,0.16901234470608703
effnetb4,fsgan,0.8732771920658736,0.0003784256573685212,0.06302780912092901,0.18032543997526346
effnetb4,inswap,0.7213611399636808,0.0016953779519755779,0.029126291159547856,0.20604108205183275
effnetb4,lia,0.6508960778915939,0.0042289866568702246,0.010859532592337864,0.1814959141915052
effnetb4,pirender,0.6648043187148303,0.002905979265985729,0.021036126000912213,0.18030416358134618
effnetb4,pixart,0.47209556876054276,0.00042607602008321185,0.0006122441011868165,0.14135697087745058
effnetb4,sadtalker,0.489370465832362,0.0005524220186697269,0.0009757272834429701,0.1612754011574253
effnetb4,sd2.1,0.776735946159353,0.00038758620534832394,0.022539390083890404,0.14135697087745058
effnetb4,simswap,0.8606618741177426,0.0016494169618106948,0.06103415119751408,0.17940622312216606
effnetb4,wav2lip,0.5501263959964775,0.0006071323022177704,0.0011361260132698072,0.17193404777605822
clip,DiT,0.5612560671529727,0.0010491859979154016,0.0011433974739495471,0.14135697087745058
clip,SiT,0.5887923211534676,0.0008205136338367494,0.0022093214930202607,0.14135697087745058
clip,StyleGAN2,0.8208108224866955,0.0005232230872527476,0.028722690971122008,0.14135697087745058
clip,StyleGAN3,0.7744486028260481,0.0006822350703211737,0.019227792840812084,0.14135697087745058
clip,StyleGANXL,0.6984489079345814,0.0006872083492393717,0.013820540136027591,0.14135697087745058
clip,blendface,0.9787048820686776,0.0009123084518985791,0.12889402093131622,0.17571951175016404
clip,ddim,0.7445373875416046,0.0010532455472298914,0.014992962954522467,0.14135697087745058
clip,facedancer,0.981332978478195,0.00015914226652351504,0.12065042069737968,0.16464153904255424
clip,faceswap,0.9933344536328066,0.0003070897188558238,0.15113011052797598,0.17884199592615482
clip,facevid2vid,0.8380205965669769,0.000413667688708857,0.05065873915673249,0.1770093041006013
clip,fomm,0.8364845480843335,0.0011310874204955618,0.048446350120309296,0.16901234470608703
clip,fsgan,0.9563347693787285,0.0005491372840400198,0.1105203752239847,0.18032543997526346
clip,inswap,0.8905463350109448,0.0025491456621433784,0.08640977610860304,0.20604108205183275
clip,lia,0.6914256071859168,0.005424206036153828,0.01626903256723255,0.1814959141915052
clip,pirender,0.7281452433103333,0.0016788847335535869,0.022680608112548645,0.18030416358134618
clip,pixart,0.7633210247990131,0.0006841623381969018,0.017217819350926356,0.14135697087745058
clip,sadtalker,0.56640117364373,0.0027133719403904227,0.002637281461923116,0.1612754011574253
clip,sd2.1,0.7512586709948043,0.0009571268413174216,0.018720462043411195,0.14135697087745058
clip,simswap,0.9597022027989278,0.0005603181521653829,0.11492950611898536,0.17940622312216606
clip,wav2lip,0.6410891782748855,0.0007537234599672324,0.008632879692203783,0.17193404777605822
