config,AUC,AUC_star,platt_slope,iso_orientation,hybrid_legacy,hybrid_tiesafe,iso_or_tiesafe,platt_tiesafe,beta_tiesafe,const_tiesafe,const_legacy,prev_calib,prev_eval
XcpFR-DF40 StyleGAN2,0.256,0.744,-0.171,flipped,0.268,0.012,0.018,0.041,0.032,0.012,0.268,0.838,0.83
XcpFR-DF40 blendface,0.457,0.543,-0.021,flipped,0.248,0.024,0.024,0.066,0.021,0.022,0.324,0.794,0.773
XcpFR-DF40 sd2.1,0.329,0.671,-0.104,flipped,0.268,0.012,0.014,0.027,0.022,0.012,0.268,0.838,0.83
XcpFR-DF40 simswap,0.363,0.637,-0.069,flipped,0.301,0.044,0.033,0.06,0.031,0.035,0.327,0.801,0.766
XcpFR-FF++ faceswap,0.387,0.613,-0.104,flipped,0.467,0.016,0.06,0.059,0.057,0.015,0.467,0.5,0.5
XcpFR-FF++ face2face,0.495,0.505,0.015,increasing,0.341,0.041,0.041,0.032,0.031,0.016,0.467,0.5,0.5
XcpFR-FF++ neuraltextures,0.64,0.64,0.12,increasing,0.158,0.055,0.055,0.039,0.042,0.015,0.467,0.5,0.5
XcpFR-FF++ deepfakes,0.664,0.664,0.1,increasing,0.169,0.061,0.061,0.045,0.057,0.017,0.467,0.5,0.5
EffNet-DF40 StyleGAN2,0.466,0.534,0.012,increasing,0.181,0.018,0.018,0.02,0.013,0.012,0.268,0.838,0.83
EffNet-DF40 StyleGAN3,0.477,0.523,0.012,increasing,0.206,0.02,0.02,0.02,0.016,0.012,0.268,0.838,0.83
EffNet-DF40 StyleGANXL,0.477,0.523,0.037,increasing,0.191,0.016,0.016,0.028,0.014,0.012,0.268,0.838,0.83
EffNet-DF40 pixart,0.472,0.528,0.004,increasing,0.205,0.015,0.015,0.049,0.012,0.012,0.268,0.838,0.83
EffNet-DF40 sadtalker,0.489,0.511,0.007,flipped,0.254,0.021,0.021,0.051,0.022,0.018,0.33,0.78,0.798
CTRL XcpFS simswap,0.948,0.948,0.501,increasing,0.024,0.019,0.019,0.023,0.02,0.035,0.327,0.801,0.766
CTRL XcpFS wav2lip,0.47,0.53,0.001,increasing,0.224,0.025,0.025,0.045,0.018,0.017,0.316,0.795,0.779
